2021-12-01 12:23:21 startup archives unpack
2021-12-01 12:23:21 upgrade libnvidia-fbc1-470:amd64 470.82.00-0ubuntu0.20.04.1 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:21 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:23:21 status half-configured libnvidia-fbc1-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:23:21 status unpacked libnvidia-fbc1-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:23:21 status half-installed libnvidia-fbc1-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:23:21 status unpacked libnvidia-fbc1-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:21 startup packages configure
2021-12-01 12:23:21 configure libnvidia-fbc1-470:amd64 470.86-0ubuntu0.20.04.1 <none>
2021-12-01 12:23:21 status unpacked libnvidia-fbc1-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:21 status half-configured libnvidia-fbc1-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:21 status installed libnvidia-fbc1-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:21 trigproc libc-bin:amd64 2.31-0ubuntu9.2 <none>
2021-12-01 12:23:21 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:23:21 status installed libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:23:24 startup archives unpack
2021-12-01 12:23:24 upgrade libnvidia-gl-470:amd64 470.82.00-0ubuntu0.20.04.1 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:24 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:23:24 status half-configured libnvidia-gl-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:23:24 status unpacked libnvidia-gl-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:23:24 status half-installed libnvidia-gl-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:23:32 status unpacked libnvidia-gl-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:32 startup packages configure
2021-12-01 12:23:32 configure libnvidia-gl-470:amd64 470.86-0ubuntu0.20.04.1 <none>
2021-12-01 12:23:32 status unpacked libnvidia-gl-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:32 status half-configured libnvidia-gl-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:32 status installed libnvidia-gl-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:32 trigproc libc-bin:amd64 2.31-0ubuntu9.2 <none>
2021-12-01 12:23:32 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:23:32 status installed libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:23:36 startup archives unpack
2021-12-01 12:23:36 upgrade libnvidia-extra-470:amd64 470.82.00-0ubuntu0.20.04.1 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:36 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:23:36 status half-configured libnvidia-extra-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:23:36 status unpacked libnvidia-extra-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:23:36 status half-installed libnvidia-extra-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:23:36 status unpacked libnvidia-extra-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:36 startup packages configure
2021-12-01 12:23:36 configure libnvidia-extra-470:amd64 470.86-0ubuntu0.20.04.1 <none>
2021-12-01 12:23:36 status unpacked libnvidia-extra-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:36 status half-configured libnvidia-extra-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:36 status installed libnvidia-extra-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:23:36 trigproc libc-bin:amd64 2.31-0ubuntu9.2 <none>
2021-12-01 12:23:36 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:23:36 status installed libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:23:39 startup archives unpack
2021-12-01 12:23:39 install linux-modules-5.11.0-41-generic:amd64 <none> 5.11.0-41.45~20.04.1
2021-12-01 12:23:39 status half-installed linux-modules-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:40 status unpacked linux-modules-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:40 install linux-image-5.11.0-41-generic:amd64 <none> 5.11.0-41.45~20.04.1
2021-12-01 12:23:40 status half-installed linux-image-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:40 status unpacked linux-image-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:41 install linux-modules-extra-5.11.0-41-generic:amd64 <none> 5.11.0-41.45~20.04.1
2021-12-01 12:23:41 status half-installed linux-modules-extra-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:44 status unpacked linux-modules-extra-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:44 upgrade linux-generic-hwe-20.04:amd64 5.11.0.40.44~20.04.18 5.11.0.41.45~20.04.19
2021-12-01 12:23:44 status half-configured linux-generic-hwe-20.04:amd64 5.11.0.40.44~20.04.18
2021-12-01 12:23:44 status unpacked linux-generic-hwe-20.04:amd64 5.11.0.40.44~20.04.18
2021-12-01 12:23:44 status half-installed linux-generic-hwe-20.04:amd64 5.11.0.40.44~20.04.18
2021-12-01 12:23:44 status unpacked linux-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19
2021-12-01 12:23:44 upgrade linux-image-generic-hwe-20.04:amd64 5.11.0.40.44~20.04.18 5.11.0.41.45~20.04.19
2021-12-01 12:23:44 status half-configured linux-image-generic-hwe-20.04:amd64 5.11.0.40.44~20.04.18
2021-12-01 12:23:44 status unpacked linux-image-generic-hwe-20.04:amd64 5.11.0.40.44~20.04.18
2021-12-01 12:23:44 status half-installed linux-image-generic-hwe-20.04:amd64 5.11.0.40.44~20.04.18
2021-12-01 12:23:44 status unpacked linux-image-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19
2021-12-01 12:23:44 install linux-hwe-5.11-headers-5.11.0-41:all <none> 5.11.0-41.45~20.04.1
2021-12-01 12:23:44 status half-installed linux-hwe-5.11-headers-5.11.0-41:all 5.11.0-41.45~20.04.1
2021-12-01 12:23:47 status unpacked linux-hwe-5.11-headers-5.11.0-41:all 5.11.0-41.45~20.04.1
2021-12-01 12:23:47 install linux-headers-5.11.0-41-generic:amd64 <none> 5.11.0-41.45~20.04.1
2021-12-01 12:23:47 status half-installed linux-headers-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:49 status unpacked linux-headers-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:49 upgrade linux-headers-generic-hwe-20.04:amd64 5.11.0.40.44~20.04.18 5.11.0.41.45~20.04.19
2021-12-01 12:23:49 status half-configured linux-headers-generic-hwe-20.04:amd64 5.11.0.40.44~20.04.18
2021-12-01 12:23:49 status unpacked linux-headers-generic-hwe-20.04:amd64 5.11.0.40.44~20.04.18
2021-12-01 12:23:49 status half-installed linux-headers-generic-hwe-20.04:amd64 5.11.0.40.44~20.04.18
2021-12-01 12:23:49 status unpacked linux-headers-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19
2021-12-01 12:23:49 startup packages configure
2021-12-01 12:23:49 configure linux-hwe-5.11-headers-5.11.0-41:all 5.11.0-41.45~20.04.1 <none>
2021-12-01 12:23:49 status unpacked linux-hwe-5.11-headers-5.11.0-41:all 5.11.0-41.45~20.04.1
2021-12-01 12:23:49 status half-configured linux-hwe-5.11-headers-5.11.0-41:all 5.11.0-41.45~20.04.1
2021-12-01 12:23:49 status installed linux-hwe-5.11-headers-5.11.0-41:all 5.11.0-41.45~20.04.1
2021-12-01 12:23:49 configure linux-headers-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1 <none>
2021-12-01 12:23:49 status unpacked linux-headers-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:49 status half-configured linux-headers-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:49 status installed linux-headers-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2021-12-01 12:23:49 configure linux-headers-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19 <none>
2021-12-01 12:23:49 status unpacked linux-headers-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19
2021-12-01 12:23:49 status half-configured linux-headers-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19
2021-12-01 12:23:49 status installed linux-headers-generic-hwe-20.04:amd64 5.11.0.41.45~20.04.19
2021-12-01 12:23:49 configure linux-image-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1 <none>
2021-12-01 12:23:49 status unpacked linux-image-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
